sain,description,title
hq013mq8,"These slim-fitting jeans will make a stylish contribution to your wardrobe. Cotton rich in a light wash denim, they are designed with added stretch for an improved fit, a narrow hem and lower rise. Style with a crewneck jumper and desert boots for a laid-back look.<br /><ul><li>Light denim wash slim jeans</li><li>Slim fit</li><li>cotton rich</li><li>Button and zip fastening</li><li>With stretch</li><li>Five pockets</li><li>Lower rise</li><li>Narrow hem</li><li>Model&#039;s height is 6&#039;2&#039;&#039;</li><li>Model wears a size 34R</li></ul>",Light Denim Wash Slim Jean With Stretch - W40 L30
02jvjp62,"<p>For use with the FoodSaver vacuum sealing system, FoodSaver bags are used to lock in the freshness and preserve the life of your food. The bags can be used in the fridge, freezer or microwave and to simmer food in a pan. As well as keeping food fresh, they can also be used to keep non-food items safe from air and dampness. <br \><br \></p><p>Made of patented, heavy-duty 5-ply material with special channels that enable the efficient and complete removal of air. Prevents freezer burn. <br \><br \></p><p>Locks out air and moisture. Seals in freshness. Unique design maximises air removal. Preserves food flavour. Each bag measures 29 x 20cm. </p><p>Features:</p><ul><li>Material: plastic. </li><li>Airtight seal. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Microwave safe, freezer safe and dishwasher safe. </li><li>EAN: 5060134334261. </li></ul>",FoodSaver 48 Replacement Bags for Food Sealing System.
gtscz7tg,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>128GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 128GB - Silver
xyd7jwjg,"These slim-fitting jeans will make a stylish contribution to your wardrobe. Cotton rich in a light wash denim, they are designed with added stretch for an improved fit, a narrow hem and lower rise. Style with a crewneck jumper and desert boots for a laid-back look.<br /><ul><li>Light denim wash slim jeans</li><li>Slim fit</li><li>cotton rich</li><li>Button and zip fastening</li><li>With stretch</li><li>Five pockets</li><li>Lower rise</li><li>Narrow hem</li><li>Model&#039;s height is 6&#039;2&#039;&#039;</li><li>Model wears a size 34R</li></ul>",Light Denim Wash Slim Jean With Stretch - W40 L32
0hrafbnx,"These slim-fitting jeans will make a stylish contribution to your wardrobe. Cotton rich in a light wash denim, they are designed with added stretch for an improved fit, a narrow hem and lower rise. Style with a crewneck jumper and desert boots for a laid-back look.<br /><ul><li>Light denim wash slim jeans</li><li>Slim fit</li><li>cotton rich</li><li>Button and zip fastening</li><li>With stretch</li><li>Five pockets</li><li>Lower rise</li><li>Narrow hem</li><li>Model&#039;s height is 6&#039;2&#039;&#039;</li><li>Model wears a size 34R</li></ul>",Light Denim Wash Slim Jean With Stretch - W42 L32
skbtmqmf,"These slim-fitting jeans will make a stylish contribution to your wardrobe. Cotton rich in a light wash denim, they are designed with added stretch for an improved fit, a narrow hem and lower rise. Style with a crewneck jumper and desert boots for a laid-back look.<br /><ul><li>Light denim wash slim jeans</li><li>Slim fit</li><li>cotton rich</li><li>Button and zip fastening</li><li>With stretch</li><li>Five pockets</li><li>Lower rise</li><li>Narrow hem</li><li>Model&#039;s height is 6&#039;2&#039;&#039;</li><li>Model wears a size 34R</li></ul>",Light Denim Wash Slim Jean With Stretch - W44 L32
bcdjbmcy,"<p>The Presso is made from silicone and borosilicate glass and can resist extremely high temperatures. The jar itself, except the lid, is microwave safe. The Presso collection has full flexibility of storing any kind of products, from very hot liquids to liquids with a high acidity level, without discoloration. <br \><br \></p><p>1 litre capacity. <br \><br \></p><p>Features:</p><ul><li>Material: glass. </li><li>Airtight seal. </li></ul><p>General information:</p><ul><li>Microwave safe, dishwasher safe. </li><li>EAN: 0699965013080. </li></ul>",Bodum Presso Storage Jar - White.
spd4hpae,,Sheepskin by  Navy Mule Slippers
gv5xgp75,"<p>For true comfort and incredible warmth, slip into these Sheepskin by Totes navy mule slippers. They are handcrafted with suede uppers and 100% luxury sheepskin lining. Wiggle your toes, and feel the quality.</p><ul><li>Sheepskin by Totes Navy slippers</li><li>Mule style</li><li>Suede uppers</li><li>Sheepskin lining</li></ul><p>&nbsp;</p><p>&nbsp;</p>",Sheepskin by  Navy Mule Slippers - S/M
5fn08n5m,"<p>The Ohio high sleeper packs an all-in-one punch with its built-in wardrobe, shelves, drawers and desk. Study, store, play and sleep - no further furniture required. Boom! Space saving and money saving, it&apos;s also a solid bit of kit designed to last a while. Featuring a sturdy wooden frame, this versatile bunk comes with a durable ladder for safe and easy access. And the drawers boast smooth-gliding metal runners. <br \><br \></p><p>Comes with a medium feel Young Airsprung Kids mattress (8883535), a foam free open coil mattress that doesn&apos;t need turning. It is soft and supportive for a good night&apos;s sleep, and also has a smooth anti allergy knit cover for peace of mind.  <br \><br \></p><p>Your kid will love this bed. Ideal for any age over 6 years, up to a max weight of 100kg, they&apos;re not going to grow out of it quickly! We suggest at least 2 people put it together - it&apos;s easy enough to assemble but being solid it is pretty heavy. <br \><br \></p><p>Sleeper:</p><ul><li>Shorty bed. </li><li>Self-assembly - 2 people recommended. </li><li>If this product is over 60cm high it must be securely attached to the wall to prevent overturning. </li><li>Ladder is in a fixed position. </li><li>Maximum user weight per bunk 100kg. </li><li>For ages 6 years and over. </li></ul><p>Mattress:</p><ul><li>Medium feel mattress. </li><li>Open coil mattress with 192 springs. </li><li>Knit cover with flat top finish. </li><li>Anti allergy. </li><li>Easy care no turn mattress. </li><li>Requires Young Airsprungmattress - 1 mattress (included). </li><li>Safety tested to 100kg. </li><li>Maximum depth of mattress to be used is 16cm. </li></ul><p>Dimensions:</p><ul><li>Frame size L180, W80, H150cm. </li><li>Mattress size L175, W75, D16cm. </li><li>Clearance between floor and underside of bed 115cm. </li>",Argos Home Ohio Beech Shorty High Sleeper & Kids Mattress
r3y52fnv,"<p>For true comfort and incredible warmth, slip into these Sheepskin by Totes navy mule slippers. They are handcrafted with suede uppers and 100% luxury sheepskin lining. Wiggle your toes, and feel the quality.</p><ul><li>Sheepskin by Totes Navy slippers</li><li>Mule style</li><li>Suede uppers</li><li>Sheepskin lining</li></ul><p>&nbsp;</p><p>&nbsp;</p>",Sheepskin by  Navy Mule Slippers - M/L
azmb9dqa,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>256GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 256GB - Space Grey
szn5b9q2,"<p>On the move? Take your delicious NutriBlast smoothie, wherever you go with the Blast Off Bag! Whether you are off to work, going to the gym or even making a pack up for your child. Take the nutritional goodness that is your Nutriblast with you with the Blast Off Bag. This handy single strapped bag keeps your Nutriblast cool and fresh. The insulated material bag comes with an easy access zip top. <br \><br \></p><p>Handy single-strapped bag. Keep your nutriblast cool and fresh. Insulated material. Comes with zip top. <br \><br \></p><p>Features:</p><ul><li>Material: polyester. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Hand wash only. </li><li>Freezer safe . </li><li>Manufacturer&apos;s 2 Year (1 year fabric) guarantee. </li><li>EAN: 5060385822944. </li></ul>",NutriBullet Blast Off Bag.
3wan3wqb,,Welsh Rugby Union Black Joggers
sg1f279m,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>128GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 128GB - Blue
p2tbq01a,"<p>If you are a fan of Welsh rugby, our black Welsh Rugby Union joggers will be right up your street. Crafted from pure cotton, they have the three white feathers logo on the front, near to the pocket area, and a comfy elasticated waist. Team with a WRU top for a matching combo.</p><ul><li>Welsh Rugby Union logo</li><li>Pure cotton</li><li>Front pockets</li><li>Cuff ankles</li><li>Elasticated waist</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Welsh Rugby Union Black Joggers - XS
2c09bpse,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>256GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 256GB - Gold
qec19kb6,"<p>The Kilner Handled Jars are a fashionable and unique way to serve a variety of drinks. The jars feature countoured handles with Kilner embossed logo an can be used with preserve lids. <br \><br \></p><p>Features:</p><ul><li>Material: glass. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Hand wash only. </li><li>Microwave safe, . </li><li>EAN: 5010853201238. </li></ul>",Kilner Pack of 6 Handled Jars - Blue.
ejm4x460,"<p>If you are a fan of Welsh rugby, our black Welsh Rugby Union joggers will be right up your street. Crafted from pure cotton, they have the three white feathers logo on the front, near to the pocket area, and a comfy elasticated waist. Team with a WRU top for a matching combo.</p><ul><li>Welsh Rugby Union logo</li><li>Pure cotton</li><li>Front pockets</li><li>Cuff ankles</li><li>Elasticated waist</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Welsh Rugby Union Black Joggers - S
a15mnqvm,"<p>The Kilner Handled Jars are a fashionable and unique way to serve a variety of drinks. The jars feature countoured handles with Kilner embossed logo an can be used with preserve lids. <br \><br \></p><p>Features:</p><ul><li>Material: glass. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Hand wash only. </li><li>Microwave safe, . </li><li>EAN: 5010853201252. </li></ul>",Kilner Pack of 6 Handled Jars - Green.
rp711233,"<p>The Kilner Handled Jars are a fashionable and unique way to serve a variety of drinks. The jars feature countoured handles with Kilner embossed logo an can be used with preserve lids. <br \><br \></p><p>Features:</p><ul><li>Material: glass. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Hand wash only. </li><li>Microwave safe, . </li><li>EAN: 5010853201245. </li></ul>",Kilner Pack of 6 Handled Jars - Pink.
0tdhqht5,"<p>The Ohio high sleeper packs an all-in-one punch with its built-in wardrobe, shelves, drawers and desk. Study, store, play and sleep - no further furniture required. Boom! Space saving and money saving, it&apos;s also a solid bit of kit designed to last a while. Featuring a sturdy wooden frame, this versatile bunk comes with a durable ladder for safe and easy access. And the drawers boast smooth-gliding metal runners. <br \><br \></p><p>Comes with a medium feel Young Airsprung Kids mattress (8883535), a foam free open coil mattress that doesn&apos;t need turning. It is soft and supportive for a good night&apos;s sleep, and also has a smooth anti allergy knit cover for peace of mind.  <br \><br \></p><p>Your kid will love this bed. Ideal for any age over 6 years, up to a max weight of 100kg, they&apos;re not going to grow out of it quickly! We suggest at least 2 people put it together - it&apos;s easy enough to assemble but being solid it is pretty heavy. <br \><br \></p><p>Sleeper:</p><ul><li>Shorty bed. </li><li> - 2 people recommended. </li><li>If this product is over 60cm high it must be securely attached to the wall to prevent overturning. </li><li>Ladder is in a fixed position. </li><li>Maximum user weight per bunk 100kg. </li><li>For ages 6 years and over. </li></ul><p>Mattress:</p><ul><li>Medium feel mattress. </li><li>Open coil mattress with 192 springs. </li><li>Knit cover with flat top finish. </li><li>Anti allergy. </li><li>Easy care no turn mattress. </li><li>Requires Young Airsprungmattress - 1 mattress . </li><li>Safety tested to 100kg. </li><li>Maximum depth of mattress to be used is 16cm. </li></ul><p>Dimensions:</p><ul><li>Frame size L180, W80, H150cm. </li><li>Mattress size L175, W75, D16cm. </li><li>Clearance between floor and underside of bed 115cm. </li>",Argos Home Ohio Grey Shorty High Sleeper & Kids Mattress
0n73b8rn,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>32GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 32GB - Silver
5w1m23sb,<p>The Vintage Americana storage is made with high quality material & advanced production techniques. The storage has an airtight silicone seal to keep contents fresh. With a good capacity of 3.65 litre. Interchangable labels included. <br \><br \></p><p>Features:</p><ul><li>Material: carbon steel. </li><li>Airtight seal. </li></ul><p>General information:</p><ul><li>Hand wash only. </li><li>Freezer safe . </li><li>EAN: 5010853221120. </li></ul>,Typhoon Vintage Americana Large Storage Container.
wxexn35y,"<p>If you are a fan of Welsh rugby, our black Welsh Rugby Union joggers will be right up your street. Crafted from pure cotton, they have the three white feathers logo on the front, near to the pocket area, and a comfy elasticated waist. Team with a WRU top for a matching combo.</p><ul><li>Welsh Rugby Union logo</li><li>Pure cotton</li><li>Front pockets</li><li>Cuff ankles</li><li>Elasticated waist</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Welsh Rugby Union Black Joggers - M
sjrvthp0,"<p>Inspired by the graphic style of Pop Art, the storage has a heavy gauge body with surface pattern to entire body. Rectangular construction for compact storage. <br \><br \></p><p>Features:</p><ul><li>Material: metal. </li><li>Airtight seal. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Hand wash only. </li><li>Freezer safe . </li><li>EAN: 5010853220390. </li></ul>",Typhoon Produce Apples Extra Large Storage Container.
yek2xq73,"<p>Every hero needs some downtime now and again! Help your little hero stay warm and cosy with this superhero cape snuggle blanket. Trendy and toasty, its sleek appearance looks the part whilst also being super soft on their skin. A silver thunderbolt and gold stars make it obvious this outfit is only fit for someone super! <br \><br \></p><ul><li>Size L 92, W 132cm. </li><li>Polyester cover. </li><li>Machine washable. </li></ul>",Imagination Station Superhero Cape Snuggle Blanket
eny8wk07,"<p>If you are a fan of Welsh rugby, our black Welsh Rugby Union joggers will be right up your street. Crafted from pure cotton, they have the three white feathers logo on the front, near to the pocket area, and a comfy elasticated waist. Team with a WRU top for a matching combo.</p><ul><li>Welsh Rugby Union logo</li><li>Pure cotton</li><li>Front pockets</li><li>Cuff ankles</li><li>Elasticated waist</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Welsh Rugby Union Black Joggers - L
